"position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
23.0236553162073,16.7324769748271,3,1,2,3,3,1,6,3,3,6
29.3515632590475,18.4093749826968,2,1,3,2,4,3,2,5,4,10
26.3487887279925,17.5856321942288,3,1,3,2,3,4,6,2,3,8
26.7210245667541,18.7588807297115,4,1,3,2,3,4,6,2,3,8
22.9908703468387,21.6322035163996,3,1,3,3,3,1,7,3,10,6
27.5059633401006,22.9589168173622,0,1,3,2,3,4,7,1,10,8
25.7662779436841,19.0351857581165,4,1,3,3,3,4,6,2,3,9
30.3846354290963,16.4439160942715,4,1,3,2,4,3,2,5,4,10
31.7751002773112,17.0786019799778,4,1,3,2,4,2,2,4,4,10
35.3159020854271,19.5034504307434,5,1,3,2,4,2,8,4,4,7
26.0395081612044,13.168211971712,3,1,2,2,1,4,3,2,9,9
25.1402392812303,18.2951041948637,3,1,3,3,3,4,6,2,3,9
23.3586975448109,19.3849860082997,4,1,3,3,3,1,6,3,3,6
23.4699966477926,21.9655509266864,3,1,3,3,3,1,7,3,10,6
30.2253583520558,20.8639979952734,3,1,3,2,4,3,8,5,4,10
30.6410984916221,16.7337266449142,4,1,3,2,4,3,2,5,4,10
24.9387333637892,16.1373807804474,1,1,3,3,1,4,6,2,9,9
28.10492243438,18.3075845180856,4,1,3,2,4,3,2,1,3,8
27.3983496986456,17.0993856209755,2,1,3,2,1,4,2,1,3,8
27.122043079691,17.3696776775923,2,1,3,2,1,4,6,1,3,8
26.5786273951683,21.1241676649693,3,1,3,2,3,4,7,2,10,8
29.8742210096987,19.2352472651876,3,1,3,2,4,3,8,5,4,10
26.2045718305952,22.5393868181637,1,1,3,2,3,4,7,2,10,8
31.5345485218855,23.1752701187405,2,1,3,2,4,2,8,4,4,10
33.215141311224,19.005530611318,2,1,3,2,4,2,8,4,4,7
27.3534275729773,24.0082056788657,1,1,3,2,3,4,7,1,10,8
31.5071197451888,18.7850006640987,4,1,3,2,4,2,8,4,4,10
21.7330119033088,23.0056634818564,4,1,3,3,3,1,7,7,10,5
25.7631179062247,15.4156534163738,3,1,2,3,1,4,6,2,9,9
27.6324156102118,15.5315649943746,3,1,3,2,1,4,2,1,9,8
25.832039965483,20.7170296990254,4,1,3,3,3,4,7,2,10,9
28.2763080557992,17.8097817666231,3,1,3,2,4,3,2,1,3,8
19.0690138412974,22.8752586619567,4,1,3,1,3,1,7,6,10,3
26.1579092930843,15.8530563177451,3,1,3,2,1,4,6,2,9,9
25.5116238307561,16.0670291436445,2,1,3,3,1,4,6,2,9,9
24.4028465022121,18.9951087669345,4,1,3,3,3,4,6,2,3,9
29.0370603702641,23.2432064399037,2,1,3,2,4,3,8,1,10,10
30.7769846978048,18.7938963544761,4,1,3,2,4,3,8,5,4,10
29.1169188624415,14.4636137819908,4,1,3,2,1,3,2,5,6,10
30.3867156172575,15.1714071349643,3,1,3,2,1,3,2,5,6,10
22.2991421587865,10.9048331231462,3,1,2,3,2,1,5,3,7,6
23.1115495677492,12.6185540042666,4,1,2,3,2,1,4,3,7,6
20.409274516156,14.8243155810527,3,1,2,3,2,1,4,7,2,5
20.813356781185,12.2670461408366,4,1,2,3,2,1,4,7,7,5
22.0812126479962,9.51307023326329,4,1,2,3,2,1,5,3,8,6
25.0610471793651,12.5012469666556,4,1,2,3,1,4,3,2,9,9
19.601296403065,12.5334725627876,5,1,2,1,2,1,4,7,2,1
20.9130395075617,18.9450043455814,3,1,3,3,3,1,6,7,3,5
