"position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
17.1911970776243,3.23513104839184,3,1,2,2,3,3,4,8,9
10.6882180529914,4.15231422791582,3,1,3,5,4,7,5,4,1
10.3329581043992,1.26025294065886,5,1,3,5,4,7,5,1,1
13.3065659969621,-0.204030552965337,3,1,3,5,5,7,6,1,6
12.6906976899186,7.82859506672593,3,1,3,5,4,7,6,4,6
13.0629405354426,3.91272986484154,0,1,3,5,5,7,6,4,7
14.2537418662012,4.40059960979162,2,1,3,5,5,7,6,3,10
11.4922308064406,5.59774115875432,1,1,3,5,4,7,6,4,7
9.20779954321228,6.62600252030242,3,1,3,5,4,7,5,4,4
10.6030876831446,4.27197063671876,3,1,3,5,4,7,5,4,1
12.9455665959917,6.8946918624661,2,1,3,5,5,7,6,4,7
18.2724614336714,5.53127216962049,3,3,2,2,3,3,4,7,9
15.9487688098833,6.19955276253155,3,3,2,2,5,3,7,3,10
14.0322156735316,3.99259973415385,2,1,3,5,5,7,6,3,10
11.4652805602427,6.27242993407229,3,1,3,5,4,7,5,4,1
11.2332289533943,0.945407957376227,4,1,3,5,4,7,5,1,1
16.9381034098469,0.103922564416045,3,1,2,2,5,3,4,8,9
16.7277089261602,1.62223612922176,3,1,2,2,5,3,7,8,9
15.5983556758828,-0.0281295991940422,3,1,2,2,5,3,7,8,10
8.7656177932741,5.18292100223479,4,1,1,5,1,7,5,4,4
14.3598240303134,0.00896847613431007,4,1,3,5,5,7,7,1,10
12.1566150675931,7.56200753121162,3,1,3,5,4,7,6,4,6
18.4668293252818,-0.262507681367047,4,1,2,2,3,3,4,8,9
13.0559934059488,3.51094289278017,1,1,3,5,5,7,6,1,7
12.0409574509245,4.61649697881775,2,1,3,5,4,7,6,4,7
10.8774702520413,4.59818200222319,2,1,3,5,4,7,5,4,1
11.4741829079086,0.0749567828102577,4,1,3,5,4,7,5,1,1
14.0553819701695,5.13196687599708,2,1,3,5,5,7,6,3,10
13.217007306488,1.37449730875419,3,1,3,5,5,7,6,1,6
13.3856839306424,4.97984383042188,1,1,3,5,5,7,6,4,7
14.9485362510859,6.34657828334686,2,1,3,5,5,7,7,3,10
19.070544463396,3.90651605814692,4,3,2,2,3,3,1,7,2
15.3670158200527,6.20233183512242,2,3,3,5,5,7,7,3,10
18.8245877987148,5.62747000019549,4,3,2,2,3,3,1,7,2
19.4529327324765,2.11084492405395,5,3,2,2,3,3,1,7,2
15.3378616879638,7.59515167120321,2,3,3,1,5,1,7,3,10
20.1754257639396,7.35123106406284,3,3,2,1,3,1,1,5,2
18.4667284392161,4.65481702617897,4,3,2,2,3,3,4,7,9
18.9967651595902,9.26952821103137,3,3,2,1,3,1,1,5,2
19.6188694687844,9.57220935487254,4,3,2,1,3,1,1,5,2
15.9342102885271,2.7761048155941,2,1,2,2,5,3,7,8,10
16.8776195628698,5.50557775843447,3,3,2,2,5,3,4,3,9
20.1919655229867,9.35736163985463,3,3,2,1,3,1,1,5,2
18.2176060157541,11.8197686089189,6,3,2,1,3,1,4,2,9
19.1428314689063,8.74522535494511,3,3,2,1,3,1,1,5,2
