"position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
12.5576355650674,23.0040590082987,3,2,1,3,3,1,8,7,1,7
9.03440297059674,23.2169470328753,1,2,1,2,3,2,8,2,1,3
9.0821198272357,26.5070281508263,4,2,1,2,3,2,3,5,2,3
6.12764823771958,25.1622411175088,4,2,1,2,3,2,7,3,2,2
10.2894209449518,22.3128306117518,2,2,1,2,3,2,8,5,1,3
2.32121899913712,21.3930528103997,0,2,1,2,3,2,7,8,5,1
10.3123867706495,20.7888459202414,3,2,1,2,3,2,8,5,1,3
10.1605188264345,24.344380366931,2,2,1,2,3,2,3,5,1,3
9.89320172356315,25.2286230715502,3,2,1,2,3,2,3,5,2,3
0.447583954363019,23.1546957131816,4,2,1,2,3,2,7,8,5,1
8.97566252854509,26.2083490052005,4,2,1,2,3,2,3,5,2,3
8.46922466129502,30.0023277991213,5,2,1,2,3,2,3,2,2,9
7.1169400808764,24.0491781911834,3,2,1,2,3,2,7,2,2,2
7.50285224565247,20.1773256049152,3,2,1,2,3,2,8,2,5,2
9.54284873434619,22.2448627023175,3,2,1,2,3,2,8,5,1,3
8.43696402205722,25.7989885861584,3,2,1,2,3,2,3,2,2,3
4.31682618809592,24.2159867651752,5,2,1,2,3,2,7,3,5,1
9.0827001633578,21.6449036237031,3,2,1,2,3,2,8,5,1,3
7.5237220957366,20.8900771754742,4,2,1,2,3,2,8,2,5,2
13.6460414701489,25.6101756844527,3,2,1,3,3,1,3,7,1,7
7.7549697064347,22.525895231158,2,2,1,2,3,2,7,2,5,2
7.61196618275058,23.5314423726553,4,2,1,2,3,2,7,2,2,2
6.98487344149066,19.1485428281657,3,2,1,2,3,2,8,2,5,2
8.29295150472524,26.3417314060384,4,2,1,2,3,2,3,2,2,2
6.67354199548985,25.663787467869,4,2,1,2,3,2,7,3,2,2
6.53920656534163,24.2100886991172,3,2,1,2,3,2,7,2,2,2
7.76868473212467,23.7676955295836,3,2,1,2,3,2,7,2,2,2
7.05078830564786,23.4902312897668,2,2,1,2,3,2,7,2,2,2
7.76456420705577,23.9418659416406,3,2,1,2,3,2,7,2,2,2
8.93775169428058,20.5017877787132,3,2,1,2,3,2,8,2,1,3
9.42237078917045,20.9294226904275,3,2,1,2,3,2,8,5,1,3
12.559524733197,24.3776909358921,4,2,1,3,3,1,3,7,1,7
6.82108577856783,22.7231876072375,3,2,1,2,3,2,7,2,5,2
13.2584216773603,22.4898147943285,4,2,1,3,3,1,8,7,1,7
30.0300952527766,24.6783185009882,5,1,3,1,1,3,5,1,6,5
24.7479877586188,30.0142344897725,7,1,3,1,4,4,6,4,8,8
30.0668605292673,25.9389856887435,7,1,3,1,1,3,5,1,6,5
29.9828501961821,21.3419256331576,7,1,2,1,2,3,5,1,6,5
28.0289732621274,22.1007967834335,7,1,3,1,1,4,1,4,3,8
30.4079394718359,25.911005720305,6,1,3,1,1,3,5,1,6,5
33.1293234427114,26.317217738468,6,1,2,1,5,5,5,1,10,10
30.237111854955,25.0866423267643,6,1,3,1,1,3,5,1,6,5
30.3411274311329,25.1690256234659,7,1,3,1,1,3,5,1,6,5
25.8194396413087,21.3631789473901,7,1,3,1,1,4,1,4,3,8
28.7662025975561,32.2710906506453,-1,1,3,1,4,3,6,1,8,5
33.0980989437342,29.6957470216622,4,1,2,1,5,5,6,1,10,10
27.7205926656108,23.2531078327518,6,1,3,1,1,4,1,4,3,8
32.7387238087318,23.5276151037355,7,1,2,1,2,5,5,1,6,10
26.6134235919198,30.134305754827,8,1,3,1,4,4,6,4,8,8
34.1006529024674,24.2623579743947,6,1,2,1,2,5,5,1,6,10
36.0210774010197,29.1369403325165,8,1,2,1,5,5,6,1,10,10
28.695564131557,28.5054488970894,7,1,3,1,4,3,6,4,8,5
30.6266059323906,19.6233683104282,5,1,2,1,2,3,5,1,6,5
30.1211075729175,26.2259817647524,7,1,3,1,1,3,5,1,6,5
30.3240452036175,27.3151773761414,5,1,3,1,4,3,6,1,8,5
23.309229405182,26.9462815875978,8,1,3,1,4,4,1,4,3,8
24.2088903951464,23.569962466209,8,1,3,1,1,4,1,4,3,8
30.6710985788764,27.913835468569,6,1,3,1,4,3,6,1,8,5
27.6241103007402,26.5313626773367,7,1,3,1,4,4,1,4,8,8
35.2397964544069,27.1480196805169,7,1,2,1,5,5,5,1,10,10
29.6465028738766,24.5398507993623,6,1,3,1,1,3,5,1,6,5
31.5141726285436,22.462217674057,7,1,2,1,2,3,5,1,6,5
31.3143611180699,22.8139150233643,6,1,2,1,2,3,5,1,6,5
32.4444564132266,21.925507295794,8,1,2,1,2,5,5,1,6,10
31.2969219704139,21.1876950456378,6,1,2,1,2,3,5,1,6,5
26.7557962771876,23.3294294572543,7,1,3,1,1,4,1,4,3,8
28.8213814891817,28.3823540034075,6,1,3,1,4,3,6,4,8,5
11.690319512994,10.9378274821404,7,3,1,3,3,1,4,7,7,4
14.8272751817195,5.74962461839561,6,3,1,3,3,1,2,6,9,6
10.5380507770659,11.3623827867877,6,3,1,3,3,1,4,5,7,4
14.0562278784194,7.54519065715502,5,3,1,3,3,1,2,7,9,7
12.6445510955436,7.98740994889568,6,3,1,3,3,1,2,7,9,7
15.6542378023191,6.91087185479594,3,3,1,3,3,1,2,6,9,6
13.3457624913894,5.80233003621534,5,3,1,3,3,1,2,7,9,7
10.3349980474984,15.6267544110847,4,3,1,2,3,2,4,5,7,3
7.54855636634602,10.6293538318676,7,3,1,2,3,2,4,3,7,9
12.5506926003013,5.45700525682789,5,3,1,3,3,1,2,7,9,7
10.7303528801255,6.72142044128571,5,3,1,3,3,1,2,5,9,4
16.4091808771298,7.68909756425165,4,3,1,3,3,1,2,6,4,6
12.0864041332635,9.15056581485507,5,3,1,3,3,1,2,7,9,7
7.01760642534444,9.83775898283275,5,3,1,2,3,2,4,3,7,9
12.6822166410929,6.07434789591886,4,3,1,3,3,1,2,7,9,7
16.6785376007169,11.7021469800759,7,3,1,3,3,1,2,6,4,6
12.9171432919403,7.68853979673384,5,3,1,3,3,1,2,7,9,7
12.4285812231397,3.32510329311117,7,3,1,3,3,1,2,7,9,7
12.4701522228644,6.72224736088315,5,3,1,3,3,1,2,7,9,7
17.5494522010386,11.2059670523781,10,3,1,3,3,1,2,6,4,6
15.3677547172997,11.4107612518328,5,3,1,3,3,1,2,6,4,6
10.0967853150557,9.53775372010263,5,3,1,2,3,2,4,5,7,4
12.8978041999323,7.80288571023757,5,3,1,3,3,1,2,7,9,7
10.7599395608041,7.74033945080466,5,3,1,3,3,1,2,5,9,4
10.5716699195221,7.10048051526689,6,3,1,3,3,1,2,5,9,4
12.3933479090631,9.95238049345763,6,3,1,3,3,1,2,7,7,7
14.392232677416,10.517710145076,4,3,1,3,3,1,2,7,4,7
10.0647787761501,6.87159223509958,6,3,1,2,3,2,2,5,9,4
9.90675379230372,17.348312638728,3,2,1,2,3,2,8,5,1,3
7.98649627214347,11.6346909166238,7,3,1,2,3,2,4,3,7,9
18.6766048977817,13.3791123623157,6,3,1,3,3,1,2,6,4,6
16.2427671612114,5.61161611036725,6,3,1,3,3,1,2,6,9,6
10.507082773939,9.26135158187212,6,3,1,3,3,1,4,5,7,4
