"position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
22.5418758918354,21.2103216383411,3,1,3,2,4,3,3,2,4
15.8297649571008,23.6107459554004,2,1,1,2,3,8,4,5,8
20.1042101871907,20.3518273372609,2,1,1,2,1,3,7,2,7
17.8718310843133,19.9360677538269,2,1,1,2,3,5,4,10,1
22.3074975938086,21.3954692043884,2,1,3,2,4,3,3,2,4
18.1686616097591,18.3650831982872,0,1,1,2,3,5,4,10,1
18.1562370902214,21.1681509989297,2,1,1,2,3,8,4,5,1
17.0245054302546,17.2707232401622,2,1,1,2,3,5,4,10,8
20.1831508558161,28.253250581322,7,1,3,2,1,8,7,8,7
20.1357573288436,16.2168243882963,3,1,1,2,1,5,7,10,7
25.1582363949457,13.3680939784789,4,3,3,1,5,1,5,9,2
20.7848250967189,21.9871385387122,3,1,3,2,1,3,7,2,7
20.6415929155002,25.240413365636,5,1,3,2,1,8,7,8,7
17.7484252945897,18.7882942812639,1,1,1,2,3,5,4,10,1
17.6397492712841,16.6354795452917,2,1,1,2,3,5,4,10,1
17.7055622319232,17.9602658870939,1,1,1,2,3,5,4,10,1
20.0296925522644,20.6104962625711,3,1,1,2,1,3,7,2,7
16.5354357518642,19.2565572573055,2,1,1,2,3,5,4,10,8
22.1089761555252,21.4915025917918,3,1,3,2,4,3,3,2,10
18.1144956019574,21.374692978352,2,1,1,2,3,8,4,5,1
24.9978825739656,20.7128642877637,4,1,3,2,5,3,5,2,2
23.1926367282026,18.3502175812523,2,1,3,2,4,3,3,2,4
15.824708131041,23.1354377681899,3,1,1,2,3,8,4,5,8
19.0518147777591,18.8596778384399,2,1,1,2,3,5,4,10,1
17.8380694806379,20.9401211475188,2,1,1,2,3,8,4,5,1
18.7369468502977,19.4128416292213,1,1,1,2,3,5,4,10,1
18.4605457957048,16.7030451351733,2,1,1,2,3,5,4,10,1
17.9732781454541,22.9825008060064,3,1,1,2,3,8,4,5,3
21.1453690721071,19.2791176943738,3,1,3,2,1,3,7,2,10
21.7406117014968,22.815004240135,4,1,3,2,1,3,8,2,10
24.1005268814944,18.2549299640279,2,1,3,2,4,3,3,2,4
19.2543634130568,17.5833584295362,1,1,1,2,3,5,4,10,1
15.50714821513,21.44986837884,3,1,1,2,3,8,4,5,8
21.099871148763,19.9387624377658,3,1,3,2,1,3,7,2,10
24.1981213466555,7.6991368743893,6,3,3,1,5,2,5,4,2
18.6247358527876,11.9678741219937,4,3,1,1,3,4,4,7,3
22.6213852635365,9.31256749110715,4,3,3,1,4,2,8,4,4
23.9398686965744,9.4725035153246,4,3,3,1,4,2,5,4,4
26.5103748891741,13.1640803949808,4,3,3,1,5,1,1,9,2
17.5509203178302,13.1407055452901,3,3,1,1,3,4,4,7,3
20.5259100682703,12.737653474837,5,3,3,1,1,6,7,7,7
22.0105536864458,11.7410995619915,4,3,3,1,4,6,8,9,10
21.7826995607468,14.6354460220238,5,3,3,1,1,6,8,9,10
24.6939317948308,12.2996958032996,5,3,3,1,5,1,5,9,2
26.6131190677287,10.247240066941,7,3,3,1,5,1,1,9,2
23.2072937374387,11.424366085463,5,3,3,1,4,6,8,9,4
22.6858830115473,12.0441735831643,4,3,3,1,4,6,8,9,4
23.0038114716976,12.3051179817323,3,3,3,1,4,6,3,9,4
25.7687649879135,13.8859708536577,4,3,3,1,5,1,1,9,2
25.2846209808451,7.21346278603384,5,3,3,1,5,2,5,4,2
22.1681356597843,6.5082288032111,5,3,3,1,4,2,8,4,10
26.0895998912471,12.0028615648509,5,3,3,1,5,1,1,9,2
21.1720074020117,18.8157448557108,2,1,3,2,1,3,7,2,10
20.8050142494547,12.0764533477078,5,3,3,1,1,6,7,7,7
19.0998049901437,12.0169510819088,3,3,1,1,3,4,4,7,3
18.1928357382557,10.9391402726247,3,3,1,1,3,4,4,7,3
24.7985692890931,11.1381169779223,4,3,3,1,5,1,5,9,2
21.5846623890612,9.38282330773575,4,3,3,1,1,2,8,4,10
25.8451050666863,11.8194854794325,5,3,3,1,5,1,1,9,2
17.5079953677089,14.3499746437761,4,3,1,1,3,4,4,7,3
22.5500345053841,15.1809460991562,2,3,3,1,4,6,3,9,4
23.1791633877731,18.7386400069265,1,1,3,2,4,3,3,2,4
27.3917604384425,15.0446977321266,2,3,3,1,5,1,1,9,2
23.1408601494922,6.85984936337596,6,3,3,1,4,2,8,4,4
23.2095160904469,14.2189279289597,4,3,3,1,4,6,8,9,4
16.9426527373477,11.2420668854468,3,3,1,1,3,4,4,7,8
22.4061712236416,12.1271554570672,4,3,3,1,4,6,8,9,10
4.43261590635216,14.9967311661549,5,2,2,5,2,7,2,6,9
0.81856789378374,9.14280133666473,1,2,2,4,2,7,6,6,5
2.75720840536822,6.98764521506523,3,2,2,3,2,7,6,3,9
3.11568581357833,0.587694227737139,5,2,2,3,2,7,6,3,9
0.968977371333732,8.35274944321494,2,2,2,4,2,7,6,3,5
2.5866951278982,7.55269577742875,2,2,2,4,2,7,6,3,9
0.239292942951118,10.904669726352,4,2,2,4,2,7,6,6,5
4.82288124765198,12.4404755381,2,2,2,5,2,7,2,6,9
2.35835667200647,6.99626407991481,3,2,2,3,2,7,6,3,9
7.09573346052288,8.62789572150904,4,2,2,5,2,7,2,1,6
3.46742293205774,9.16261627278373,4,2,2,4,2,7,6,6,9
1.48241504738798,6.48673957722194,5,2,2,3,2,7,6,3,5
1.99923717121757,4.75746867267276,4,2,2,3,2,7,6,3,9
0.883476496697845,5.12194798080832,5,2,2,3,2,7,6,3,5
2.86818520716273,8.7987007182937,4,2,2,4,2,7,6,6,9
-0.422266139746395,7.5448196320435,5,2,2,4,2,7,6,3,5
5.48638091494188,10.2293690257062,5,2,2,5,2,7,2,1,6
7.59762445094954,7.56331794261074,5,2,2,5,2,7,2,1,6
4.39921137390921,8.6333664586839,3,2,2,5,2,7,2,1,9
3.70810843106614,9.57659611329813,3,2,2,5,2,7,6,6,9
10.2162669165194,7.84229096548776,4,2,2,5,2,7,2,1,6
3.38392753322261,14.4938042886037,5,2,2,5,2,7,6,6,9
4.56907790123961,6.73692128368174,3,2,2,3,2,7,2,1,9
2.4711279785896,8.93990751188177,4,2,2,4,2,7,6,6,9
2.22902978121096,5.77192705481907,3,2,2,3,2,7,6,3,9
1.72759100451929,5.13713727799444,4,2,2,3,2,7,6,3,9
2.27213265753426,4.55970880619901,4,2,2,3,2,7,6,3,9
7.15035229505746,12.2374955192111,4,2,2,5,2,7,2,1,6
5.45710451143098,5.18809615370506,5,2,2,3,2,7,2,1,6
-1.91826021217385,7.59101075211833,4,2,2,4,2,7,6,3,5
1.80503339120162,5.80502890694114,4,2,2,3,2,7,6,3,9
-0.417964439880966,7.69677224251824,4,2,2,4,2,7,6,3,5
2.02885507535345,9.85918010472121,4,2,2,4,2,7,6,6,9
