"position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
18.8981954644303,24.3097781540096,4,2,3,2,1,1,8,7,1,2
20.8026310846276,30.7576859037208,1,2,3,2,4,3,8,6,5,8
15.824766091865,28.4812913877898,3,2,3,1,5,5,8,1,9,4
12.9206349536486,30.6077470664441,3,2,3,1,5,2,8,4,9,9
19.7551049940198,30.949568223413,1,2,3,2,4,3,8,6,5,1
18.5181779806773,33.0453653870119,0,2,3,2,4,3,8,6,3,1
18.2722701624305,28.5287889193438,3,2,3,2,1,1,8,8,5,10
13.3873451221126,30.6556857346075,2,2,3,1,5,2,8,4,9,9
16.3634070971342,28.8240753591328,1,2,3,1,5,5,8,1,9,10
19.4850042631462,33.0933780293082,1,2,3,2,4,3,8,6,3,1
19.4103921753212,33.4351351215398,1,2,3,2,4,3,8,6,3,1
20.4633326225593,31.8820572464681,2,2,3,2,4,3,8,6,3,8
21.3910975445002,35.2998421598263,3,2,3,3,4,3,8,2,8,8
19.5244690464306,26.6447902637059,6,2,3,2,1,1,8,7,1,2
18.5356139227809,31.2706558830056,2,2,3,2,4,3,8,6,3,1
18.3841432452603,32.0068577269429,1,2,3,2,4,3,8,6,3,1
15.2335937271736,30.351204537502,2,2,3,1,5,5,8,1,9,4
17.5257408040911,24.1165469179962,3,2,3,2,1,1,8,8,1,10
17.2247146358421,32.4062053307987,2,2,3,2,4,1,8,1,3,10
18.2888475868156,32.2474047929804,2,2,3,2,4,1,8,6,3,1
15.6647125673681,30.5672970501013,2,2,3,1,5,5,8,1,9,4
18.1270449998282,29.8006917595457,3,2,3,2,4,1,8,8,5,10
17.381429939723,27.5671025112755,4,2,3,2,1,1,8,8,1,10
24.6108126193482,35.1089853917308,3,2,3,3,4,4,8,5,8,5
18.4999029794518,32.8079346842871,1,2,3,2,4,3,8,6,3,1
21.072475950526,29.0712287653551,4,2,3,3,4,3,8,2,5,7
16.946742272755,24.7925222324309,2,2,3,2,1,1,8,1,1,10
21.7078435870396,30.0037195402348,4,2,3,3,4,4,8,2,5,7
21.2518329977214,34.2405727317384,2,2,3,3,4,3,8,2,8,8
12.1808753748311,26.1185216162691,2,2,3,1,5,2,8,4,9,9
19.4729010058308,32.00226641301,1,2,3,2,4,3,8,6,3,1
21.2086832516514,27.901587760921,5,2,3,3,1,4,8,2,5,7
18.6508472241638,31.2438770027567,2,2,3,2,4,3,8,6,3,1
12.5778521626628,29.3179463411988,3,2,3,1,5,2,8,4,9,9
17.9273518569712,11.8677499954483,3,1,2,2,3,1,5,8,6,10
19.3650004573626,14.6112018063876,3,1,2,2,3,3,5,7,6,2
18.5681415720094,12.0406241950272,4,1,2,2,3,1,5,7,6,2
15.0972539181305,11.6315930156775,5,1,2,1,3,5,5,3,10,4
16.7326535337414,12.5129308275038,5,1,2,1,3,5,5,8,6,3
15.2461467896972,11.5852549273843,5,1,2,1,3,5,5,3,10,4
16.1091565915026,11.1697293694379,4,1,2,1,3,5,5,1,10,4
14.7185556937199,9.42452921949942,4,1,2,1,3,5,3,3,10,4
20.5476491579187,12.5531839548275,3,1,2,2,3,3,5,7,6,8
19.4838146583448,11.0515660417712,4,1,2,2,3,3,5,7,7,2
17.6229582235173,9.57497751607484,4,1,2,2,3,1,1,8,7,10
15.0435644206379,7.55442865163866,4,1,2,1,3,5,3,3,10,4
16.4082903760654,8.41051031045945,5,1,2,1,3,5,3,8,10,3
17.298443791681,15.1041651561465,4,1,2,2,3,1,5,8,6,10
13.5712115939462,6.78308682703645,5,1,2,1,3,2,3,3,10,9
21.3356159674971,7.6378685875132,4,1,1,3,2,4,1,2,7,7
13.092295298259,11.3967762380501,5,1,2,1,3,2,3,4,10,9
15.8523193421061,6.22435114726746,4,1,2,1,3,5,3,1,2,4
