"position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
21.5696701287288,29.9852342180236,2,4,1,3,2,5,8,4,10,1
23.3506912247785,27.2744698759476,2,4,1,3,5,5,2,4,6,10
22.6435507456303,31.1643417323188,2,4,1,3,2,5,3,4,2,10
20.1984641250652,26.6029648361887,2,4,1,1,2,4,6,5,4,1
20.0380359847852,27.5609464295495,2,4,1,1,2,4,6,5,4,1
22.7862749427359,27.8734655956192,0,4,1,3,5,5,6,1,4,4
23.2164686724746,26.088556268244,2,4,1,3,5,5,2,4,6,10
20.7958951114082,31.0785679801384,3,4,1,1,2,4,8,5,10,1
21.5233906635773,28.4696933020429,1,4,1,3,2,5,6,1,4,1
24.2094710108605,28.8549290544923,2,4,1,3,5,3,4,6,1,8
22.6476720674593,27.4388628073612,1,4,1,3,5,5,6,1,4,4
24.6531447852582,26.9431448015901,1,4,1,3,5,3,2,6,6,9
25.4459579417151,26.360830770652,2,4,1,2,5,3,2,6,6,9
23.8548001547316,29.4916854557129,2,4,1,3,2,5,4,6,1,8
20.925522924867,29.7362884456554,3,4,1,1,2,4,8,5,10,1
24.4673392698084,28.3299726568558,2,4,1,3,5,3,4,6,1,8
21.5535977772265,28.5952879735217,2,4,1,3,2,5,6,4,4,1
23.1171651342618,28.9059794136409,1,4,1,3,2,5,4,1,1,4
22.115373985105,28.3002111141213,1,4,1,3,2,5,6,1,4,4
24.9480185508589,28.0535933702628,1,4,1,3,5,3,4,6,1,9
24.5231981371344,27.4128534430907,2,4,1,3,5,3,2,6,6,8
22.9388419624157,27.6427364709672,1,4,1,3,5,5,6,1,4,4
25.3608676029421,27.1703177603937,2,4,1,2,5,3,2,6,6,9
22.8713473898089,28.3343563472756,1,4,1,3,2,5,6,1,4,4
23.0226594881275,31.0779625965273,2,4,1,3,2,5,3,4,2,10
24.6737347555544,30.8615836485984,1,4,1,3,2,3,3,6,2,9
21.8213974568754,24.9410754234859,3,4,1,3,5,2,6,4,4,1
22.1186131114819,28.737304546331,2,4,1,3,2,5,6,4,4,10
24.8200720338645,29.4099828664093,2,4,1,3,5,3,4,6,1,9
23.9220740625995,28.8945141834675,2,4,1,3,5,5,4,6,1,8
25.0749033738505,26.355849592593,2,4,1,2,5,3,2,6,6,9
22.6590863441725,28.396616131989,2,4,1,3,2,5,6,4,4,10
