"position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
13.4290389235531,27.085338053459,2,3,2,1,1,3,4,10,6
12.084789074437,30.42772059144,1,1,2,1,1,8,4,4,2
16.165039342393,26.211645072469,3,3,2,1,1,2,5,3,9
16.249956199886,33.5847171530844,3,1,2,1,1,5,5,4,9
16.8404375238356,29.7191326182896,2,3,2,1,1,5,5,2,9
15.7352422684863,29.1019109644747,0,3,2,1,1,5,5,2,9
13.815347777659,26.3784656509814,2,3,2,1,1,3,4,10,6
13.8524025938182,30.1007531577227,1,1,2,1,1,8,4,4,6
12.2680947331839,28.4390607448833,2,1,2,1,1,8,4,10,2
15.3330354457747,30.933327599161,2,1,2,1,1,5,5,4,10
11.8535036420123,27.2070407611956,3,1,2,1,1,3,4,10,2
17.7066299345803,29.2177332035439,2,3,2,1,1,5,5,2,9
16.1561334430711,30.7079066638061,2,1,2,1,1,5,5,2,9
13.5405487225953,26.7242634809102,2,3,2,1,1,3,4,10,6
15.8308848340146,28.4948006827004,1,3,2,1,1,5,5,2,9
13.832880756525,28.9227206883411,2,1,2,1,1,8,4,10,6
12.7598221714988,27.0089798887828,3,3,2,1,1,3,4,10,2
16.718025511976,24.6762887968654,1,3,2,1,1,2,5,3,9
16.4194981080788,28.3822123508744,1,3,2,1,1,5,5,2,9
16.6330564809,29.0073010943208,2,3,2,1,1,5,5,2,9
13.5847943906707,27.1718371431549,1,3,2,1,1,3,4,10,6
12.7332761915621,31.4722802752674,3,1,2,1,1,8,4,4,2
15.5138967963159,26.6259485500877,3,3,2,1,1,2,5,3,10
16.1211599916949,26.9205738509008,2,3,2,1,1,2,5,3,9
14.9232145661763,28.2896317864929,2,3,2,1,1,3,5,2,10
12.9926599672837,28.7793187906989,2,1,2,1,1,8,4,10,2
16.6588945423522,29.5942427573294,2,3,2,1,1,5,5,2,9
14.0267279407138,28.4012595940703,1,1,2,1,1,3,4,10,6
14.1923561145422,27.5491224910387,2,3,2,1,1,3,4,10,6
14.3658295266724,25.6005968183047,2,3,2,1,1,2,4,3,6
16.0119650233183,24.7939486360793,2,3,2,1,1,2,5,3,9
15.3406795408359,30.2407747663171,3,1,2,1,1,5,5,2,10
14.6997547743029,27.5980704790723,2,3,2,1,1,3,4,10,10
10.1584169006483,27.7074991773584,4,1,1,1,4,8,1,10,5
4.54808789896782,11.0278579251921,3,2,1,3,3,7,3,9,8
4.14876538757068,7.15708868320234,4,2,3,3,3,7,7,9,8
5.3997398455471,10.3950456618897,3,2,1,3,3,7,3,9,1
4.69482080664141,8.03879128288605,4,2,1,3,3,7,3,9,8
7.84807543363455,6.98682293564781,5,2,1,3,4,1,1,6,5
5.29640330558581,9.27979034698582,4,2,1,3,3,7,3,9,1
4.7386999562684,9.61006290401608,3,2,1,3,3,7,3,9,8
3.32773016343487,8.68698659828132,4,2,3,3,3,7,7,9,8
6.18547149161009,8.89570125477039,3,2,1,3,3,1,3,9,1
5.6500207444937,10.3766446549287,4,2,1,3,3,7,3,9,1
7.25027975138902,11.6620109287096,5,2,1,3,4,1,1,1,5
5.74018696879972,10.3550357120435,3,2,1,3,3,7,3,9,1
7.28006600871854,6.50658639045131,4,2,1,3,4,1,1,6,5
5.41280570594557,10.0574397707808,4,2,1,3,3,7,3,9,1
7.71165030475497,9.8556799663065,5,2,1,3,4,1,1,6,5
3.85935799127722,9.61207991870999,4,2,3,3,3,7,7,9,8
7.57846859228186,10.9940337366952,4,2,1,3,4,1,1,6,5
6.75002997955274,9.908251099324,4,2,1,3,4,1,1,6,1
6.48490488914018,12.5454294594403,4,2,1,4,4,4,1,1,1
5.2416337280668,9.0916619912187,4,2,1,3,3,7,3,9,1
8.19232282823986,8.80954172978526,4,2,1,3,4,1,1,6,5
8.60916202540789,7.6203682994227,4,2,1,3,4,1,1,6,5
8.10566232444003,9.84121722773869,5,2,1,3,4,1,1,6,5
3.39681516086827,11.2283464480734,3,2,3,2,3,7,7,7,8
7.20243451922188,14.4206027498644,5,2,1,4,4,4,1,1,5
1.91382029641289,9.25443356330679,4,2,3,2,2,7,6,8,3
6.59323674374069,13.3761859832145,5,2,1,4,4,4,1,1,1
6.66511560023483,17.8316896695201,5,2,1,4,4,4,1,5,1
7.8607274827862,11.0584766892242,4,2,1,3,4,1,1,6,5
3.65455100498013,9.00688531762784,4,2,3,3,3,7,7,9,8
