"position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
8.16168501799855,10.1051861833247,3,5,2,1,1,1,8,2,7,2
6.98655630143896,9.80174928784793,4,5,2,1,1,1,8,2,7,2
11.7295428220256,8.46357986047438,1,5,2,2,1,2,8,3,7,4
10.0239639400924,7.98256269234916,2,5,2,2,1,2,8,3,7,4
5.61560228456057,9.88475787833116,2,5,2,1,1,1,8,2,7,2
11.5313416550264,9.90478912832528,0,5,2,2,1,2,8,3,7,4
7.80297389913367,11.3454171089588,2,5,2,1,1,1,8,2,7,2
8.9004365561622,8.59042174088123,3,5,2,1,1,1,8,2,7,2
9.7566030456101,11.0629097278113,3,5,2,2,1,2,8,3,7,4
7.75823997419302,11.0134624751728,1,5,2,1,1,1,8,2,7,2
8.4068006557398,11.1818137568094,3,5,2,1,1,1,8,2,7,2
7.61477367952695,6.91653887822604,3,5,2,1,1,1,8,2,7,2
11.0671853074718,13.3362842599746,2,5,2,2,1,2,8,3,7,4
21.6695355616188,24.7993218016814,7,4,3,3,5,4,3,4,3,3
14.9623798942593,23.2644184725504,5,4,3,2,3,3,7,5,5,8
18.1366328288847,24.7433672118534,6,4,3,3,5,3,3,5,9,1
19.8624812538932,23.6951476910784,6,4,3,3,5,4,3,4,3,3
19.9040654981323,18.5752730321169,6,4,3,3,5,4,2,4,3,3
23.6147505319602,22.7488284647727,11,4,3,3,5,4,3,4,3,7
16.5181291822954,24.6505992046129,7,4,3,3,3,3,7,5,9,1
26.0498011541103,22.5251922364002,8,4,3,3,5,4,3,4,3,5
21.5736862849821,27.0629032495001,9,4,3,3,5,4,3,4,3,7
18.398633433233,23.2246153895983,6,4,3,3,5,4,2,4,3,1
24.0867146918117,24.2800459810506,10,4,3,3,5,4,3,4,3,7
22.8197179172477,23.585856224887,8,4,3,3,5,4,3,4,3,7
20.395202110404,19.1436556061262,5,4,3,3,5,4,2,4,3,3
5.71971597623218,19.9990058149186,5,1,1,1,4,1,4,7,8,2
5.92099494163879,20.0894046506762,5,1,1,1,4,1,4,7,8,2
12.1546072197668,19.5652190923398,6,1,3,2,3,2,7,3,5,10
8.07482216144954,18.8662306833557,5,1,1,1,1,1,4,1,10,2
8.46283991452225,22.736392579317,7,1,1,1,4,1,4,1,8,2
7.20652154413652,23.6850724529151,5,1,1,1,4,1,1,1,8,2
-1.14880292858392,23.4131823609065,-1,1,1,1,4,5,1,6,6,9
6.56404085022771,22.084340986511,6,1,1,1,4,1,4,1,8,2
7.48823209391526,25.1192719807101,7,1,1,1,4,1,1,1,1,2
11.9692820721702,23.678596310136,7,1,3,2,3,2,7,3,5,10
4.96410415482925,21.1890209018343,6,1,1,1,4,5,4,7,8,6
5.07585683132076,21.4751794658526,5,1,1,1,4,5,4,7,8,6
4.30217756030765,22.0912483189029,5,1,1,1,4,5,4,7,8,6
13.7972809809346,30.9297900357897,9,4,3,2,3,3,7,5,9,10
11.7947168018974,25.1130913136549,6,1,3,2,3,2,7,3,5,10
21.9943754536582,21.1043641992652,10,4,3,3,5,4,2,4,3,7
13.2070225041465,21.4021681641393,5,1,3,2,3,2,7,3,5,8
14.869746142851,25.8476276994225,6,4,3,2,3,3,7,5,9,8
13.5894804508067,18.9564570388101,5,1,3,2,3,3,7,5,5,8
12.3726076839065,21.925164120607,3,1,3,2,3,2,7,3,5,4
13.6655239303311,21.5072036012228,6,1,3,2,3,3,7,5,5,8
10.9305352715177,29.0453851282185,6,1,1,2,3,2,7,3,1,10
19.9842925202851,21.0628599691871,7,4,3,3,5,4,2,4,3,3
15.116480487041,28.3697941545954,7,4,3,2,3,3,7,5,9,8
19.0677643768375,26.8403720670388,9,4,3,3,5,4,3,4,9,1
14.4133654330476,20.4993586925497,6,1,3,2,3,3,7,5,5,8
14.2399622662263,1.32733871405216,5,2,2,2,2,3,5,5,2,8
11.7306830263526,-0.795577237012785,6,2,2,2,2,2,5,3,2,10
11.5297822884726,2.61715099106441,4,2,2,2,2,2,5,3,2,4
14.0519797453781,4.1022260343339,3,2,2,2,2,3,5,5,2,8
17.4035986730876,0.0724651522570192,6,2,2,3,2,3,6,5,2,1
15.3100847066046,2.69883463612968,4,2,2,2,2,3,5,5,2,8
13.1770355769543,4.22952640788144,4,2,2,2,2,2,5,3,2,8
16.9363260196021,3.55889003578183,4,2,2,3,2,3,5,5,2,1
13.9301879297191,9.72893806760315,2,5,2,2,1,2,8,3,7,8
14.2978603305446,3.43881085256763,4,2,2,2,2,3,5,5,2,8
19.0159599743733,-0.687160954447808,6,2,2,3,2,4,6,4,2,1
11.8408679812816,3.36304504351517,5,2,2,2,2,2,5,3,2,10
17.8501775393969,1.08305638501333,6,2,2,3,2,3,6,5,2,1
18.9289447225895,-1.0531002648425,6,2,2,3,2,4,6,4,2,1
18.5163747281938,-1.62976679055834,6,2,2,3,2,4,6,4,2,1
24.7544390116641,3.23380224802029,3,2,2,3,2,4,6,4,2,5
14.5116286776867,0.981140065495632,4,2,2,2,2,3,5,5,2,8
17.5967402391735,1.22954028494008,7,2,2,3,2,3,6,5,2,1
22.2286100405502,4.13821119936448,6,2,2,3,2,4,6,4,2,3
16.4110743275557,4.12615652620635,3,2,2,2,2,3,5,5,2,8
18.9794287632044,-8.45373244890635,5,2,2,3,2,4,6,4,2,1
20.6676559927857,-1.92624525411478,6,2,2,3,2,4,6,4,2,3
20.1881604953286,2.48917528891097,8,2,2,3,2,4,6,4,2,3
20.0025255407261,-1.20187347287421,5,2,2,3,2,4,6,4,2,3
5.99989252686889,18.1616745565404,4,1,1,1,1,1,4,7,10,2
7.47048590057739,20.1769884774173,4,1,1,1,4,1,4,2,8,2
6.4201135838704,17.0306922614715,3,1,1,1,1,1,4,2,10,2
7.50875200553065,14.7900523904156,7,1,1,1,1,1,4,1,10,2
5.44525093633248,26.9257704533184,7,1,1,1,4,5,1,7,1,6
2.85299428743415,16.3667888035494,5,1,1,1,1,5,4,8,10,6
5.32965738886618,15.096325654149,5,1,1,1,1,5,4,7,10,6
7.0967018267039,16.9726173139301,4,1,1,1,1,1,4,2,10,2
9.69629887011018,22.032712299098,4,1,1,2,3,2,7,3,5,4
4.54018046256639,23.0206258945078,4,1,1,1,4,5,1,7,8,6
6.12138298970108,18.047478911267,3,1,1,1,1,1,4,2,10,2
8.13054407605657,18.6579296758312,5,1,1,1,1,1,4,1,10,2
4.10978770395897,32.2006976028736,8,3,1,1,4,5,1,8,4,6
2.81290921074105,28.8839124771391,7,3,1,1,4,5,1,8,4,6
8.43326685769385,27.8494975875178,6,1,1,1,4,1,1,1,1,2
2.84787344267953,31.2434784318509,-1,3,1,1,4,5,1,6,4,9
3.61551847849542,23.9559809238014,7,1,1,1,4,5,1,8,6,6
7.00499981179218,25.6488815539954,6,1,1,1,4,1,1,1,1,2
3.03910294281237,29.8073198827882,8,3,1,1,4,5,1,8,4,6
6.68377126309826,30.685200425915,7,3,1,1,4,1,1,1,4,2
1.97058241277559,28.2392724592116,8,3,1,1,4,5,1,8,4,6
1.79007599989818,25.1762447584593,7,1,1,1,4,5,1,8,6,6
7.40494468188506,23.5468343972129,6,1,1,1,4,1,1,1,8,2
4.55482929829214,23.0693989437355,5,1,1,1,4,5,1,7,8,6
