"position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
12.9490874206417,3.33236010111926,3,3,2,5,2,1,4,1,9
12.1933310510729,5.04739110238998,3,3,2,5,2,1,4,8,9
13.815093280108,4.88194985519048,2,3,2,5,2,1,4,8,5
10.753225315295,4.41051832878903,4,3,2,5,2,1,4,8,4
11.8583179560994,4.00318422420518,4,3,2,5,2,1,4,8,4
14.9730610602333,1.58828838694926,0,3,2,5,2,1,4,1,5
13.7210864499249,1.72595569201086,2,3,2,5,2,1,4,1,5
13.7631942754479,3.42986831783552,1,3,2,5,2,1,4,1,5
11.3647955502058,3.21961916651969,3,3,2,5,2,1,4,8,4
12.6070011314756,3.91836569140994,3,3,2,5,2,1,4,8,9
13.3679316050371,2.94679836434076,2,3,2,5,2,1,4,1,9
14.270984124571,2.29779107037411,1,3,2,5,2,1,4,1,5
11.4911229858839,0.46441181965194,3,3,2,5,2,1,4,1,4
14.4270274919253,3.89170022974755,2,3,2,5,2,1,4,8,5
15.3292873120155,5.12223736623968,3,3,2,5,5,1,8,8,6
13.864547749878,3.99547293881439,2,3,2,5,2,1,4,8,5
13.3963584420053,1.73395783254212,2,3,2,5,2,1,4,1,9
13.0974428836425,0.765512736789568,3,3,2,5,2,1,4,1,9
14.381491751295,2.27719675252496,2,3,2,5,2,1,4,1,5
10.5793311164787,4.38705147760993,4,3,2,5,2,1,4,8,4
13.2099898829794,6.68192416919189,2,3,2,5,2,1,4,8,9
16.2390125336069,9.17873279189002,4,3,2,5,5,5,8,3,6
13.2167315523177,7.14880216805638,3,3,2,5,2,5,4,8,9
16.4529924733674,8.12959915182612,3,3,2,5,5,5,8,3,6
17.4727790021573,10.0682267539127,3,3,2,5,5,5,8,3,2
14.2542799611676,6.60092422223113,3,3,2,5,2,5,4,8,5
14.5095265681099,10.0514194125529,5,3,2,5,2,5,4,3,3
17.5244702826866,7.43850396129422,2,3,2,5,5,5,8,3,2
18.4456759169374,9.01386754748534,3,3,2,5,5,5,8,3,2
15.9178398207934,7.71106849166515,3,3,2,5,5,5,8,3,6
14.9169945152549,10.1754677108771,5,3,2,5,5,5,8,3,3
15.7561962620401,8.40801860114159,3,3,2,5,5,5,8,3,6
16.1074279755958,8.00829444195653,4,3,2,5,5,5,8,3,6
15.5081169670695,7.86267961626279,4,3,2,5,5,5,8,3,6
15.8134791739535,9.11235768219282,4,3,2,5,5,5,8,3,6
