"X","position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
1,16.446329173632,23.1599908950739,7,3,3,1,2,8,1,5,7
2,24.4909969973378,19.2110758926719,8,1,1,3,3,7,3,4,6
3,1.03474200004712,19.5782656199299,-1,3,2,4,5,3,5,9,9
4,14.255092763342,3.87193472357467,2,2,3,2,4,4,8,7,1
5,26.4149285643362,6.92582353251055,10,1,1,2,3,1,3,3,6
6,12.5081964000128,7.18952233437449,0,2,3,5,4,4,8,7,1
7,28.7336487974972,3.40712460922077,15,1,1,2,1,1,3,3,8
8,17.1664204169065,20.7838113745674,6,3,3,1,2,8,1,2,3
9,5.09206690359861,18.3990597445518,6,3,2,4,5,3,2,9,9
10,8.02172575844452,6.31321883294731,7,2,2,5,5,4,2,1,2
11,13.2970724883489,1.82026655646041,5,2,3,2,4,4,4,1,1
12,14.6801924309693,24.5313541707583,7,3,3,1,4,8,4,5,7
13,27.8855577483773,19.6376377553679,7,1,1,3,3,7,3,4,10
14,6.85794539283961,24.6023988188244,7,3,2,4,5,3,2,9,2
15,15.7162283663638,7.50454063760117,1,2,3,2,2,4,8,7,1
16,19.2092759627849,0.459893946535885,-1,2,3,2,2,1,6,7,4
17,13.6767554911785,13.3316169376485,5,2,3,5,4,6,4,10,1
18,7.44249917333946,22.8277728217654,7,3,2,4,5,3,2,9,2
19,12.9762190883048,15.242875283584,4,3,3,5,4,6,8,2,1
20,29.7108371998183,9.61901072412729,11,1,1,3,1,2,3,3,5
21,18.3176665683277,13.0490209115669,6,1,3,2,2,6,1,2,3
22,10.2670907042921,25.3639466688037,7,3,2,4,4,3,4,9,2
23,2.43294570129365,27.352290165145,9,3,2,4,5,3,7,9,9
