"X","position_x","position_y","time_of_infected","xytmodes","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
1,4.12436775863171,9.01022361824289,9,2,1,2,4,1,5,1,4,1
2,18.9703981694765,17.7279880992137,3,1,3,3,5,3,1,8,7,2
3,10.1285958685912,1.02444136049598,10,2,1,3,4,2,2,6,8,8
4,20.2300154208206,20.1295964280143,5,1,3,1,5,3,1,2,7,10
5,9.42917367210612,28.1332705006935,5,1,2,3,3,2,3,5,10,8
6,17.2898915153928,28.352639246732,0,1,2,3,3,4,3,8,7,2
7,10.5933621106669,15.1162481191568,8,2,1,3,4,2,7,5,6,8
8,17.6370038813911,8.93176797078922,5,2,1,3,1,4,6,8,1,4
9,7.75777920847759,25.9311691741459,3,1,2,2,2,2,4,7,10,5
10,14.0485918032937,19.7021331824362,4,1,2,3,3,4,7,8,6,9
11,18.8700828328729,8.35134045453742,7,2,1,3,1,3,6,2,1,4
12,16.077809210401,28.65038047079,1,1,2,3,3,4,3,8,10,9
13,15.6797576788813,29.1151867434382,2,1,2,3,3,4,3,8,10,9
14,1.20656532933936,17.4004955822602,7,1,2,2,2,1,4,1,4,1
15,14.8175453790464,5.37044056691229,7,2,1,3,1,4,6,8,1,6
16,28.928857378196,20.7187935872935,-1,1,3,1,5,5,1,3,5,7
17,9.36757652554661,5.33233501017094,8,2,1,2,4,2,2,6,2,8
18,8.18953062174842,1.16949467919767,12,2,1,2,4,2,2,6,8,8
19,22.0818156050518,2.62571083148941,9,2,1,1,1,3,8,2,1,10
20,0.155751330312341,10.2870141318999,12,2,1,2,4,1,5,1,4,1
