"Parish","Holding","X","Y","Cattle","Sheep","Infection","Cull","Classification","Exposed","Removed","xytmodes","k10","k20","k26","k30"
389,15,346.3,523,241,3474,0,0,1,0,0,11,10,8,9,6
68,133,337.6,544.2,173,0,48,56,1,43,52,4,5,10,18,30
119,1,354.8,552.4,239,2019,0,0,1,0,0,17,7,17,13,26
142,10,335.9,539.5,209,140,0,0,1,0,0,12,5,11,18,10
28,108,327.336,553.65,84,0,0,0,0,0,0,7,6,3,2,17
43,3,320.6,538.3,260,1482,0,0,1,0,0,2,4,18,11,18
152,71,349.1,539.6,174,814,39,48,1,34,43,10,2,20,4,20
138,127,351.8,544.8,24,0,0,0,0,0,0,3,7,1,19,1
72,28,340.4,551.7,498,0,62,68,1,57,66,23,9,2,26,23
142,42,335.6,539.8,56,240,56,63,0,51,60,4,5,11,18,10
46,7001,323,537.2,0,141,0,0,0,0,0,2,4,19,11,21
169,16,359.3,537.1,220,1192,42,51,1,37,46,20,2,5,20,24
28,14,327.3,554.1,394,0,47,55,1,42,51,7,6,3,2,17
71,24,335.9,553.9,10,0,0,0,0,0,0,1,3,2,12,15
46,56,324.4,539.2,140,408,0,0,1,0,0,1,4,18,11,21
142,23,337.3,542.8,33,145,39,47,0,34,43,4,5,10,18,30
404,17,359.285,521.307,4,0,0,0,0,0,0,3,8,15,5,8
50,48,332.1,538.8,95,1224,0,0,1,0,0,12,5,11,14,2
50,82,328.7,537.1,49,875,0,0,1,0,0,12,4,11,14,2
163,77,343.9,522.8,95,140,0,0,0,0,0,11,10,8,22,6
38,98,330.1,549.1,149,0,51,59,1,46,55,7,3,7,6,25
403,13,359.1,522.4,156,451,0,0,1,0,0,3,8,15,5,8
170,7005,346.1,526.3,0,103,0,0,0,0,0,11,10,4,9,6
119,11,356.504,552.468,21,4,0,0,0,0,0,5,7,17,13,26
173,15,343.4,540.7,58,0,50,56,0,45,54,4,5,20,24,9
160,62,356.414,532.458,21,114,0,0,0,0,0,20,2,5,20,12
40,14,324.863,550.757,89,108,70,77,0,65,74,7,6,3,2,19
86,18,346.1,554.5,106,0,0,0,1,0,0,31,9,13,3,4
152,64,344.525,546.028,436,0,67,75,1,62,71,8,9,13,17,23
72,147,342.8,552.2,23,0,0,0,0,0,0,23,9,13,26,23
404,4,358.9,521.3,91,367,0,0,0,0,0,3,8,15,5,8
152,98,345.5,547.8,277,0,70,78,1,65,74,8,9,13,17,23
173,193,341.883,543.765,52,265,0,0,0,0,0,4,9,10,17,9
167,80,336.882,527.281,5,0,0,0,0,0,0,24,10,8,22,28
120,69,349.799,551.019,29,139,0,0,0,0,0,8,7,17,3,4
170,197,353.6,531,0,8,0,0,0,0,0,20,2,5,7,12
413,30,352.3,528.4,54,302,0,0,0,0,0,6,8,4,7,12
40,65,327.6,547.6,234,0,49,57,1,44,53,7,6,12,6,3
173,233,340.273,544.074,0,31,0,0,0,0,0,4,9,10,18,9
68,83,339.4,547.3,245,0,64,72,1,59,68,23,9,10,26,23
37,35,327.757,550.839,306,379,61,70,1,56,65,7,6,3,2,17
149,8,357.7,538.7,230,139,0,0,1,0,0,20,2,5,20,24
138,30,352.5,546.5,182,2625,55,63,1,50,59,17,7,1,19,1
86,278,349.2,554.6,0,29,0,0,0,0,0,8,7,13,3,4
157,24,342.4,527.5,40,351,0,0,0,0,0,11,10,8,22,28
136,66,330.047,527.77,0,94,0,0,0,0,0,15,1,9,8,11
30,39,324.3,541.8,131,515,0,0,1,0,0,14,4,18,11,5
212,145,327.852,548.61,19,0,0,0,0,0,0,7,6,12,6,3
72,39,342.9,550.4,498,0,88,96,1,83,92,23,9,13,26,23
68,42,335.4,551.1,48,740,0,0,1,0,0,1,3,2,12,15
120,10,351.235,550.499,48,0,0,0,0,0,0,17,7,17,13,26
143,12,346.7,534.7,323,0,41,50,1,36,45,10,10,4,1,16
138,122,357.474,547.18,73,1263,0,0,1,0,0,3,7,16,16,14
68,214,336.8,550.1,114,390,0,0,1,0,0,1,3,2,12,15
387,14,348.7,520.1,98,1907,0,0,1,0,0,6,8,15,9,6
72,85,343.8,548.4,63,522,0,0,1,0,0,8,9,13,26,23
30,58,328.8,539.1,125,1844,48,57,1,43,52,12,4,11,14,2
138,110,357.5,547.3,58,1918,0,0,1,0,0,3,7,16,16,14
142,37,339.3,540.2,107,0,0,0,1,0,0,4,5,10,18,9
173,44,341.8,543,293,910,56,65,1,51,60,4,9,10,17,9
38,20,329.4,546.6,9,217,0,0,0,0,0,22,6,7,6,7
68,79,338.7,546.7,171,0,0,0,1,0,0,4,9,10,26,30
28,2,327.346,553.032,199,0,56,64,1,51,60,7,6,3,2,17
87,4,321.2,534.7,0,243,0,0,0,0,0,2,4,19,15,13
40,7,324.9,551.8,629,0,0,0,1,0,0,7,6,3,2,19
163,25,339.3,521.6,11,192,0,0,0,0,0,9,10,8,22,28
153,18,358,534.9,272,69,0,0,1,0,0,20,2,5,20,24
39,95,320.902,545.344,28,0,0,0,0,0,0,7,6,12,10,29
173,74,342.6,535.3,42,276,0,0,0,0,0,10,5,14,24,16
39,5,324.3,545.8,316,480,53,63,1,48,57,7,6,12,10,29
31,33,320.9,543.9,255,440,0,0,1,0,0,14,6,18,10,29
173,140,344.4,534.4,290,0,0,0,1,0,0,10,10,14,24,16
387,33,351.5,523.9,311,0,0,0,1,0,0,6,8,15,9,6
46,52,325.5,538.4,56,0,0,0,0,0,0,1,4,18,11,21
72,130,342.8,549.5,0,11,0,0,0,0,0,23,9,13,26,23
173,103,344.3,536.4,100,0,0,0,1,0,0,10,5,20,24,16
157,74,344.4,528.5,294,0,0,0,1,0,0,11,10,4,1,27
159,119,356.1,540.1,14,322,0,0,0,0,0,20,2,16,20,24
86,47,344.9,552.7,94,0,0,0,0,0,0,8,9,13,3,4
36,22,334.534,543.406,208,0,0,0,1,0,0,12,5,11,23,30
159,80,358.024,547.06,38,1214,0,0,1,0,0,3,7,16,16,14
161,88,354.2,540,72,0,0,0,0,0,0,20,2,16,20,24
163,153,344.234,524.338,0,240,0,0,0,0,0,11,10,8,22,6
38,34,330.2,545.4,23,34,0,0,0,0,0,12,3,7,6,7
173,105,341.3,543.6,22,0,0,0,0,0,0,4,9,10,18,9
401,8,353.4,524.7,495,0,52,60,1,47,56,3,8,15,5,8
157,7000,342.4,527.6,9,196,0,0,0,0,0,11,10,8,22,28
173,86,341.3,545.7,185,1106,0,0,1,0,0,4,9,10,26,23
72,53,343,552.8,474,0,57,65,1,52,61,23,9,13,3,4
152,65,344.3,546.7,335,0,59,66,1,54,63,8,9,13,17,23
119,2,354.8,552.3,0,290,0,0,0,0,0,17,7,17,13,26
40,26,323.7,549.4,149,59,0,0,1,0,0,7,6,12,10,19
146,71,346.3,525.1,10,83,0,0,0,0,0,11,10,8,9,6
150,81,354.6,535.4,4,50,0,0,0,0,0,20,2,5,20,24
212,140,326.296,548.441,17,63,0,0,0,0,0,7,6,12,10,3
173,61,344.341,537.877,307,459,21,44,1,16,25,10,5,20,24,16
30,29,321.7,541.8,183,0,0,0,1,0,0,14,4,18,11,18
50,88,328.9,538.2,34,599,0,0,1,0,0,12,4,11,14,2
167,78,336.5,527.2,8,0,0,0,0,0,0,24,10,8,22,28
68,231,337.3,552.8,45,149,0,0,0,0,0,1,3,2,12,15
30,127,324.5,541.5,0,170,0,0,0,0,0,14,4,18,11,5
167,6,336.8,532.5,104,1532,0,0,1,0,0,10,5,14,25,22
36,125,333.7,540.7,0,32,0,0,0,0,0,12,5,11,14,10
46,7,322.9,537.2,0,174,0,0,0,0,0,2,4,19,11,21
173,27,347.2,536,357,2983,45,54,1,40,49,10,2,20,4,16
150,21,354.4,537.5,98,177,0,0,0,0,0,20,2,5,20,24
138,52,357.4,547.1,23,1326,0,0,1,0,0,3,7,16,16,14
159,66,358.8,544.4,0,14,0,0,0,0,0,3,7,16,16,14
133,23,327.073,523.327,0,40,0,0,0,0,0,15,1,6,21,11
68,118,338.6,545.1,103,0,0,0,1,0,0,4,9,10,18,30
138,125,352,545.8,0,46,0,0,0,0,0,3,7,1,19,1
134,17,330.9,523,73,764,0,0,1,0,0,15,1,9,8,11
138,64,352.6,546.3,0,37,0,0,0,0,0,3,7,1,19,1
134,22,331.7,523,121,1737,0,0,1,0,0,15,1,9,8,11
50,28,334.3,537.8,0,111,0,0,0,0,0,12,5,11,14,10
159,18,359.8,542.2,153,1895,0,0,1,0,0,3,2,16,16,14
173,113,340.9,544.9,278,0,51,58,1,46,55,4,9,10,18,9
133,27,327.66,523.9,104,251,0,0,1,0,0,15,1,9,21,11
36,60,336.2,543.5,126,0,0,0,1,0,0,4,5,10,18,30
413,6,352.2,528.6,148,484,40,50,1,35,44,6,8,4,7,12
210,22,320.1,550.4,470,0,48,60,1,43,52,7,6,12,10,19
157,82,341.5,526.8,0,37,0,0,0,0,0,11,10,8,22,28
149,26,357.742,538.938,44,276,75,81,0,70,79,20,2,5,20,24
131,7,323.6,532.1,138,683,0,0,1,0,0,2,4,19,15,13
389,11,348.6,525.4,230,0,0,0,1,0,0,9,10,4,9,6
30,129,325.595,540.922,0,36,0,0,0,0,0,14,4,18,11,5
40,46,324.8,547.3,134,463,0,0,1,0,0,22,6,12,10,3
86,7,346.3,552.3,178,0,0,0,1,0,0,8,9,13,3,4
142,48,339,542.9,532,1036,0,0,1,0,0,4,5,10,18,9
167,40,336.5,535.4,107,1536,0,0,1,0,0,4,5,14,25,22
30,133,321.538,541.657,31,128,0,0,0,0,0,14,4,18,11,18
159,74,359.7,543.4,144,674,0,0,1,0,0,3,7,16,16,14
131,60,322.7,532.8,0,20,0,0,0,0,0,2,4,19,15,13
212,7002,325.9,548.9,7,83,0,0,0,0,0,7,6,12,10,3
138,56,358.112,547.108,142,734,0,0,1,0,0,3,7,16,16,14
68,15,337.7,548.6,193,82,70,78,1,65,74,23,3,2,26,30
130,46,322.4,525.7,153,0,0,0,1,0,0,21,1,6,21,13
163,11,344.6,526.1,240,1206,0,0,1,0,0,11,10,8,22,6
138,123,352.6,547.3,27,0,0,0,0,0,0,17,7,1,19,1
38,186,330.2,543.3,59,0,0,0,0,0,0,12,3,11,14,7
38,87,328.9,544.9,60,2140,0,0,1,0,0,22,6,12,6,7
161,39,350.3,541.5,170,402,26,43,1,21,30,8,2,20,4,20
131,59,324.7,532.2,39,451,0,0,1,0,0,2,4,19,15,13
163,33,338.2,525.4,46,1402,0,0,1,0,0,24,10,8,22,28
153,4,357.7,537.2,54,0,0,0,0,0,0,20,2,5,20,24
40,60,324.4,547.1,0,12,0,0,0,0,0,22,6,12,10,3
28,66,328.9,552.2,30,0,0,0,0,0,0,7,6,3,2,17
159,70,357.452,540.083,289,1633,39,49,1,34,43,20,2,16,20,24
50,1,336.6,536.4,84,871,0,0,1,0,0,4,5,14,25,22
142,18,337.4,538.1,436,0,0,0,1,0,0,4,5,14,25,10
38,135,326.1,544.8,147,0,52,61,1,47,56,7,6,12,10,5
134,58,331.9,522.9,8,0,0,0,0,0,0,15,1,9,8,11
120,61,351.6,549.9,23,4,62,70,0,57,66,17,7,17,13,26
150,2,354,535.7,177,0,39,50,1,34,43,20,2,5,20,24
119,5,355.1,550.4,247,0,0,0,1,0,0,17,7,17,13,26
170,191,354.7,537,0,23,0,0,0,0,0,20,2,5,20,24
30,137,327.8,541.8,28,80,0,0,0,0,0,12,4,18,14,5
37,32,328.5,550.4,250,0,58,66,1,53,62,7,6,3,6,17
397,22,355.8,522.8,148,310,0,0,1,0,0,3,8,15,5,8
151,81,343.4,530.3,0,143,0,0,0,0,0,11,10,4,1,27
163,158,343.5,522.2,0,115,0,0,0,0,0,11,10,8,22,6
71,88,332.9,553.9,50,0,0,0,0,0,0,1,3,7,12,15
28,26,325.9,552.4,185,0,0,0,1,0,0,7,6,3,2,17
212,7007,324.919,549.088,90,0,0,0,0,0,0,7,6,12,10,3
152,91,351.3,537.1,330,0,0,0,1,0,0,20,2,5,4,12
170,177,350.9,531.3,0,47,0,0,0,0,0,5,2,4,7,12
138,66,353,545.4,109,1027,41,51,1,36,45,3,7,1,19,1
153,47,357.2,536.9,34,25,0,0,0,0,0,20,2,5,20,24
397,11,355.913,522.892,234,1622,35,46,1,30,39,3,8,15,5,8
36,54,334.6,545.1,47,306,0,0,0,0,0,4,3,10,23,30
170,182,340.8,524.5,8,16,0,0,0,0,0,9,10,8,22,28
120,45,349.8,547.5,207,0,0,0,1,0,0,17,7,1,19,1
136,45,331.2,525.6,23,312,0,0,0,0,0,15,1,9,8,11
46,69,325.2,538.5,191,0,79,87,1,74,83,1,4,18,11,21
30,28,322,541.8,464,526,42,52,1,37,46,14,4,18,11,18
173,224,341.4,534.9,303,0,53,62,1,48,57,10,5,14,24,16
152,149,343.4,547.5,122,0,55,63,1,50,59,23,9,13,26,23
86,87,348.5,550.6,0,161,0,0,0,0,0,8,9,13,3,4
72,51,345.1,550.2,153,87,92,100,1,87,96,8,9,13,3,4
150,74,353.4,535.3,0,312,47,56,0,42,51,20,2,5,20,12
103,31,320.3,534.3,0,417,0,0,1,0,0,2,4,19,15,13
36,20,333.9,540.4,114,934,0,0,1,0,0,12,5,11,14,10
152,153,349.9,536.4,17,7,0,0,0,0,0,20,2,20,4,12
152,170,349.7,547.3,237,0,0,0,1,0,0,17,7,1,19,1
146,138,348.5,528.4,157,1448,0,0,1,0,0,11,10,4,1,27
28,12,329.1,553.9,305,0,0,0,1,0,0,7,3,3,2,17
28,5,327.3,553.7,250,0,0,0,1,0,0,7,6,3,2,17
50,35,334.5,535.9,30,0,0,0,0,0,0,4,5,11,25,22
30,77,323.7,540.4,572,2658,59,67,1,54,63,14,4,18,11,18
159,41,357.2,544.8,317,2440,39,50,1,34,43,3,7,16,16,14
159,40,355.1,542.7,137,1866,0,0,1,0,0,3,7,16,16,14
153,13,356.4,536.3,231,0,32,41,1,27,36,20,2,5,20,24
152,3,345.9,540.6,556,2523,0,0,1,0,0,4,9,20,17,20
87,8,322.2,534.7,185,1312,0,0,1,0,0,2,4,19,15,13
170,66,351.4,532.7,514,0,73,82,1,68,77,5,2,4,7,12
120,38,351.7,548.4,208,27,0,0,1,0,0,17,7,1,19,1
161,7,354.4,538.5,193,902,29,39,1,24,33,20,2,5,20,24
152,72,346.9,540.2,626,742,0,0,1,0,0,10,9,20,4,20
152,230,343.6,542.6,235,0,0,0,1,0,0,4,9,20,17,9
43,15,320.6,539.8,377,752,70,78,1,65,74,1,4,18,11,18
68,258,335.369,550.537,30,0,0,0,0,0,0,1,3,7,12,15
138,47,354.4,545.3,221,0,0,0,1,0,0,3,7,16,16,14
28,9,327.6,553.8,75,0,0,0,0,0,0,7,6,3,2,17
400,1,356.2,521,90,12,0,0,0,0,0,3,8,15,5,8
50,16,332.6,539.8,0,70,0,0,0,0,0,12,5,11,14,2
118,26,354.7,553.8,110,596,0,0,1,0,0,17,7,17,13,26
38,55,330,543.1,133,719,0,0,1,0,0,12,3,11,14,7
39,9,321.864,545.049,167,339,97,105,1,92,101,14,6,12,10,29
30,44,321.257,542.021,19,248,0,0,0,0,0,14,4,18,11,18
142,91,334.5,538.3,76,1630,0,0,1,0,0,12,5,11,14,10
410,2,351.2,525.5,206,0,0,0,1,0,0,6,8,15,9,6
142,62,335.2,539.8,47,177,67,74,0,62,71,4,5,11,14,10
394,50,358,524.4,5,129,0,0,0,0,0,3,8,15,5,8
173,26,343.4,540.4,30,21,0,0,0,0,0,4,5,20,24,9
72,57,343.8,551.5,0,318,0,0,0,0,0,8,9,13,3,4
50,124,330.798,539.777,0,1189,0,0,1,0,0,12,4,11,14,2
152,103,350.5,545.9,103,26,0,0,1,0,0,17,7,1,19,1
397,2,357.6,523.6,195,1023,0,0,1,0,0,3,8,15,5,8
131,11,321.4,532.3,233,1095,0,0,1,0,0,2,4,19,15,13
163,131,343.4,523.3,136,709,0,0,1,0,0,11,10,8,22,6
138,62,353.3,547.1,17,572,0,0,1,0,0,17,7,1,19,1
50,90,334,538.7,176,623,44,53,1,39,48,4,5,11,14,10
28,29,325.5,553.3,2,0,0,0,0,0,0,7,6,3,2,17
68,115,337.2,544.7,86,0,0,0,0,0,0,4,3,10,18,30
212,139,325.6,548.6,2,13,0,0,0,0,0,7,6,12,10,3
160,12,356.4,532.3,483,456,25,40,1,20,29,20,2,5,20,12
163,27,341.2,525.5,149,1527,74,83,1,69,78,24,10,8,22,28
170,152,349.8,530,144,771,0,0,1,0,0,5,10,4,7,27
392,25,354.3,528.4,416,0,70,79,1,65,74,25,8,15,7,12
149,7,356.6,536.1,0,376,0,0,0,0,0,20,2,5,20,24
37,16,333.3,551.1,170,301,46,54,1,41,50,1,3,7,12,25
28,53,327.315,553.15,13,0,0,0,0,0,0,7,6,3,2,17
37,132,332.1,550.4,8,0,0,0,0,0,0,1,3,7,12,25
30,57,324.8,539.4,188,945,0,0,1,0,0,1,4,18,11,21
87,7000,323.719,538.786,70,0,81,87,0,76,85,1,4,18,11,21
46,41,324.9,537.1,181,519,85,92,1,80,89,1,4,19,11,21
173,2,342.3,540.3,326,9,52,59,1,47,56,4,5,20,24,9
153,2,356.7,536,0,16,0,0,0,0,0,20,2,5,20,24
40,43,326,547.2,0,734,0,0,1,0,0,22,6,12,10,3
170,57,351.559,534.09,309,0,33,44,1,28,37,20,2,5,4,12
138,68,353.6,546.4,56,0,0,0,0,0,0,3,7,1,19,1
28,59,330.3,552.9,13,10,0,0,0,0,0,1,3,3,12,17
138,46,353,545.3,45,0,0,0,0,0,0,3,7,1,19,1
146,134,348.122,528.137,22,0,0,0,0,0,0,11,10,4,1,27
40,121,325.398,550.426,0,10,0,0,0,0,0,7,6,3,2,19
28,69,330.828,551.979,149,0,35,43,1,30,39,1,3,7,12,25
86,257,347.1,554.2,0,1058,0,0,1,0,0,31,9,13,3,4
152,48,345.1,543.5,119,151,59,66,1,54,63,8,9,20,17,20
40,16,324.5,551.2,113,0,0,0,1,0,0,7,6,3,2,19
71,18,332.8,554.2,42,47,0,0,0,0,0,1,3,7,12,15
130,40,321.9,527.3,69,0,0,0,0,0,0,21,1,6,21,13
152,205,347.6,544.4,366,826,82,88,1,77,86,8,9,1,17,20
120,7,350.5,552,236,714,70,78,1,65,74,8,7,17,13,26
87,3,321.1,534.7,205,1974,0,0,1,0,0,2,4,19,15,13
137,3,325.507,526.105,163,1582,0,0,1,0,0,21,1,6,21,11
146,59,350.9,528.7,59,0,0,0,0,0,0,6,8,4,7,27
50,95,336.1,535.3,33,1755,0,0,1,0,0,4,5,14,25,22
50,2,336,537.2,80,1116,0,0,1,0,0,4,5,14,25,10
146,36,347,529.1,405,917,0,0,1,0,0,11,10,4,1,27
152,172,351.7,537.7,269,718,0,0,1,0,0,20,2,5,4,24
134,10,329.9,520.4,30,436,0,0,1,0,0,15,1,9,8,11
72,135,340.4,548.2,355,309,66,73,1,61,70,23,9,2,26,23
120,3,350.4,552.2,687,845,0,0,1,0,0,17,7,17,13,26
131,44,321.9,530.7,23,1752,0,0,1,0,0,2,4,19,15,13
50,67,334.1,537.3,324,2783,83,92,1,78,87,12,5,11,14,10
152,158,344.5,541.1,150,2063,40,50,1,35,44,4,9,20,17,20
117,2,351.8,554.2,257,576,0,0,1,0,0,17,7,17,13,26
40,2,323,551.8,209,0,48,57,1,43,52,7,6,3,2,19
163,120,339.6,522.7,0,102,0,0,0,0,0,9,10,8,22,28
130,109,323.5,522.3,0,2404,0,0,1,0,0,21,1,6,21,11
30,12,325,543.6,226,30,56,64,1,51,60,14,6,18,10,5
170,88,353.656,531.197,21,0,0,0,0,0,0,20,2,5,7,12
43,6,320.585,538.653,0,995,0,0,1,0,0,1,4,18,11,18
113,1,320.3,528.4,100,2813,0,0,1,0,0,2,1,6,15,13
173,6,340.6,536.8,21,108,0,0,0,0,0,10,5,14,24,16
167,34,335.7,532.4,76,717,54,62,1,49,58,10,5,14,25,22
46,84,323.9,539.1,2,19,0,0,0,0,0,1,4,18,11,21
170,181,354.273,541.916,34,667,0,0,1,0,0,3,2,16,16,14
152,247,342.6,543.3,0,37,0,0,0,0,0,4,9,10,17,9
40,54,329.3,548.8,310,0,68,78,1,63,72,7,6,7,6,25
72,132,345.7,550.6,691,0,90,98,1,85,94,8,9,13,3,4
146,62,347.74,526.843,0,817,0,0,1,0,0,11,10,4,9,6
46,71,326.8,532.2,29,741,0,0,1,0,0,2,4,19,15,13
173,150,340.9,546.3,19,0,0,0,0,0,0,4,9,10,26,23
72,84,343.3,549.9,527,0,98,111,1,93,102,8,9,13,26,23
118,7000,357,554.1,0,313,0,0,0,0,0,5,7,17,13,26
210,26,321.3,549.5,170,404,44,54,1,39,48,7,6,12,10,19
394,7,359.8,525.3,91,997,0,0,1,0,0,3,8,15,5,8
142,43,335.8,539.8,43,2,69,77,0,64,73,4,5,11,18,10
157,25,343.7,526.4,0,1,0,0,0,0,0,11,10,8,22,28
152,39,346.5,542.8,180,0,43,53,1,38,47,8,9,20,17,20
142,69,339.1,536.1,16,265,0,0,0,0,0,4,5,14,25,22
39,23,321.5,546.7,282,438,39,53,1,34,43,7,6,12,10,29
71,13,332.9,554.2,209,0,77,90,1,72,81,1,3,7,12,15
28,4,327.413,553.614,229,376,62,69,1,57,66,7,6,3,2,17
68,252,337.134,553.444,159,0,56,62,1,51,60,1,3,2,12,15
170,186,351.9,531.1,0,77,0,0,0,0,0,5,2,4,7,12
395,62,359.864,521.127,0,290,0,0,0,0,0,3,8,15,5,8
170,189,352.5,530.7,0,240,0,0,0,0,0,5,2,4,7,12
152,162,349,539.8,220,263,0,0,1,0,0,10,2,20,4,20
159,60,359.1,542.6,285,748,0,0,1,0,0,3,2,16,16,14
170,7011,352.9,532.9,1,72,0,0,0,0,0,20,2,5,7,12
40,115,323.9,549.4,40,133,0,0,0,0,0,7,6,12,10,19
28,11,328.4,554.8,150,0,32,42,1,27,36,7,6,3,2,17
160,5,356.933,533.569,54,0,0,0,0,0,0,20,2,5,20,24
212,129,327.8,550.5,17,0,0,0,0,0,0,7,6,3,2,17
134,23,330.694,524.253,195,897,0,0,1,0,0,15,1,9,8,11
39,20,322.5,547.5,23,68,0,0,0,0,0,22,6,12,10,29
151,7,343.8,530.7,0,325,0,0,0,0,0,11,10,4,1,27
38,74,325.1,545.4,180,424,0,0,1,0,0,22,6,12,10,29
389,31,347.9,525.2,71,194,0,0,0,0,0,11,10,4,9,6
152,139,342.389,547.042,101,0,52,61,1,47,56,23,9,10,26,23
40,34,326.5,551.2,318,0,0,0,1,0,0,7,6,3,2,17
212,7000,325.3,548.1,7,71,0,0,0,0,0,22,6,12,10,3
39,17,322,547.3,360,994,70,77,1,65,74,7,6,12,10,29
131,47,322.8,531.5,86,591,0,0,1,0,0,2,4,19,15,13
173,115,340,541.8,28,109,0,0,0,0,0,4,5,10,18,9
50,38,334.7,536.8,0,10,0,0,0,0,0,12,5,11,25,10
151,2,343.2,533.2,13,1429,45,53,1,40,49,11,10,14,1,16
46,43,327.39,534.153,59,2041,0,0,1,0,0,2,4,19,15,21
170,190,353.3,534.3,0,3132,0,0,1,0,0,20,2,5,20,12
134,19,332.1,520.6,22,1809,0,0,1,0,0,15,1,9,8,11
38,32,329.7,546.9,64,444,0,0,1,0,0,7,3,7,6,7
120,1,351.4,550.4,303,0,0,0,1,0,0,17,7,17,13,26
157,14,338.9,527.1,0,123,0,0,0,0,0,24,10,8,22,28
46,122,324.1,538.7,4,0,0,0,0,0,0,1,4,18,11,21
152,7,349.8,536.6,60,0,0,0,0,0,0,20,2,20,4,12
28,67,331.3,552.9,177,0,52,62,1,47,56,1,3,7,12,25
173,21,343.5,539.5,85,0,57,65,0,52,61,11,5,20,24,9
68,21,334.533,551.147,168,120,0,0,1,0,0,1,3,7,12,15
50,11,331.3,540.9,56,665,0,0,1,0,0,12,5,11,14,2
137,9,327,525.3,0,352,0,0,0,0,0,21,1,6,21,11
161,47,349.5,541.7,52,852,35,50,1,30,39,8,2,20,4,20
152,237,344.5,544.7,0,185,0,0,0,0,0,4,9,20,17,20
71,1,335.2,553.8,68,552,0,0,1,0,0,1,3,2,12,15
67,179,346.4,543,199,71,49,57,1,44,53,8,9,20,17,20
28,30,325.54,553.11,282,306,45,57,1,40,49,7,6,3,2,17
138,7000,353.2,543.4,0,66,0,0,0,0,0,3,7,16,19,14
212,32,325.799,546.864,150,639,87,95,1,82,91,7,6,12,10,3
146,17,347.9,528.9,48,106,0,0,0,0,0,11,10,4,1,27
159,76,354.2,542.7,287,509,37,46,1,32,41,3,7,16,16,14
68,36,335.2,552,209,0,62,68,1,57,66,1,3,2,12,15
153,50,356.728,536.638,178,0,48,56,1,43,52,20,2,5,20,24
396,6,353.1,527.1,413,0,41,50,1,36,45,6,8,15,7,8
160,22,354.602,533.299,396,0,46,54,1,41,50,20,2,5,20,12
28,73,328.284,552.507,149,0,0,0,1,0,0,7,6,3,2,17
138,9,355.7,547.4,0,63,0,0,0,0,0,3,7,16,16,14
143,26,347.818,531.695,32,424,57,64,1,52,61,11,10,4,1,27
40,11,325.2,550.6,217,16,66,73,1,61,70,7,6,3,2,19
167,58,336.6,529.9,61,1318,0,0,1,0,0,24,10,14,25,22
38,10,331.1,546.1,88,0,0,0,0,0,0,12,3,7,6,7
70,1,330.8,554.5,59,37,0,0,0,0,0,1,3,3,12,17
68,29,334.3,547.4,285,225,55,64,1,50,59,1,3,7,23,30
173,109,341.8,536.1,48,464,0,0,1,0,0,10,5,14,24,16
133,34,327.4,523.5,4,650,0,0,1,0,0,15,1,9,21,11
86,40,348.5,549.4,97,292,0,0,0,0,0,8,9,13,3,4
167,18,341,529.2,174,940,47,55,1,42,51,11,10,8,22,28
138,1,355.6,549.1,0,95,0,0,0,0,0,17,7,17,13,26
36,9,336.4,541.7,70,0,0,0,0,0,0,4,5,10,18,10
38,82,333.735,546.381,80,191,0,0,0,0,0,1,3,7,23,30
39,28,322.26,550.108,597,0,57,65,1,52,61,7,6,12,10,19
146,102,350.172,528.786,19,26,0,0,0,0,0,5,10,4,7,27
38,78,328.4,546.5,122,0,0,0,1,0,0,22,6,12,6,3
159,7001,358.9,544.3,18,1190,0,0,1,0,0,3,7,16,16,14
72,82,341.9,548.4,2,0,0,0,0,0,0,23,9,2,26,23
28,16,328.428,551.453,215,163,66,74,1,61,70,7,6,3,2,17
142,41,336.1,538.5,191,0,0,0,1,0,0,4,5,11,25,10
86,191,348.2,551.2,99,0,75,82,0,70,79,8,9,13,3,4
153,6,359,536.6,294,1136,0,0,1,0,0,20,2,5,20,24
138,77,356.3,549.1,119,0,0,0,1,0,0,5,7,17,13,26
152,229,344.318,543.938,105,238,0,0,1,0,0,4,9,20,17,20
68,259,333.946,549.383,0,13,0,0,0,0,0,1,3,7,12,25
173,135,345.4,538.8,12,0,0,0,0,0,0,10,5,20,24,16
120,14,354.5,549.8,220,0,0,0,1,0,0,17,7,17,13,26
38,105,331,548.4,119,128,0,0,1,0,0,1,3,7,6,25
39,102,322.3,549,0,117,0,0,0,0,0,7,6,12,10,19
170,6,350.3,535.9,253,238,49,57,1,44,53,20,2,5,4,12
68,70,339,545.6,419,11,53,61,1,48,57,4,9,10,18,30
394,13,357.585,524.215,121,1793,0,0,1,0,0,3,8,15,5,8
68,135,338.7,543.7,151,820,46,55,1,41,50,4,5,10,18,30
400,6,356.3,521.2,40,146,0,0,0,0,0,3,8,15,5,8
173,17,341.1,542,26,0,0,0,0,0,0,4,5,10,18,9
389,6,346.2,522.3,69,1018,0,0,1,0,0,11,10,8,9,6
38,63,329.1,543.7,0,47,0,0,0,0,0,12,6,11,6,7
173,89,345,539.6,154,857,41,51,1,36,45,10,5,20,24,20
152,73,344.4,542.5,272,990,0,0,1,0,0,4,9,20,17,20
86,12,346.8,554.2,128,588,0,0,1,0,0,31,9,13,3,4
